Tracking ID,Date received,Applicant Organisation,Software name,Status,Assigned reviewer(s),Date Assigned,Date decision made,Decision,Certificate ID,Certificate Expiry,Link to Review,Logo opt-in,Blog opt-in
GSF-SUB-2026-0001,20-02-2026,GSF,Impact framework,Approved,JC,20-02-2026,20-02-2026,Approve,GSF-SCI-2026-00001,20-02-2027,…,,
GSF-SUB-2026-0002,10-06-2026,Offlyn.ai,Offlyn Clipper,Pending SWG Sign-off,Kirsty,20-07-2026,27-07-2026,Recommend Approve,,,https://github.com/offlyn-ai/offlyn-token-savings-audit/releases/tag/v1.0.0-sci-measured,,
